Modelo 	 SSE 	 AIC 	 AICc 	 Delta_AIC 	 Delta_AICc 	 Likelihood 	 Likelihood_c 	 AIC_weights 	 AICc_weights 	 AIC_evid_ratio 	 AICc_evid_ratio 	 BIC 	 Delta_BIC 	 BIC_prob
1	0.8610778229372322	-2450.4139756241348	-2450.3533695635288	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	-2438.439581982811	0.0	1.0
2	29.585385092966714	-1025.6736218281271	-1025.3053353831144	1424.7403537960076	1425.0480341804143	4.1837247160307e-310	3.58716335353597e-310	4.1837247160307e-310	3.58716335353597e-310	inf	inf	-993.7419054512633	1444.6976765315476	1.940374381e-314
3	28.116422697231222	-1046.0442815446202	-1045.6759950996075	1404.3696940795146	1404.6773744639213	1.109163717183032e-305	9.51006987650362e-306	1.109163717183032e-305	9.51006987650362e-306	9.015801585537997e+304	1.0515169846129988e+305	-1014.1125651677563	1424.3270168150548	5.1442028509084e-310
4	2.7990497308939615	-1952.873827741381	-1951.453462206133	497.5401478827537	498.8999073573957	9.131237202171924e-109	4.6265963013507485e-109	9.131237202171924e-109	4.6265963013507485e-109	1.0951418497398617e+108	2.161416157506647e+108	-1889.0103949876534	549.4291869951576	4.931374052552052e-120
5	2.20083356925848	-2043.05134535554	-2041.05134535554	407.3626302685948	409.3020242079888	3.4860111380487005e-89	1.32188820457033e-89	3.4860111380487005e-89	1.32188820457033e-89	2.8686081610162364e+88	7.564936252117044e+88	-1967.2135189604883	471.2260630223227	4.726727332827598e-103
6	2.3181127160482164	-2002.2844707799109	-1997.5817680772082	448.1295048442239	452.7716014863206	4.8968233124951275e-98	4.807241674819641e-99	4.8968233124951275e-98	4.807241674819641e-99	2.042140253352249e+97	2.0801949800818326e+98	-1886.5319989137795	551.9075830690315	1.4282067334602437e-120
7	24577261.088475324	4480.347072130588	4487.270149053665	6930.761047754722	6937.623518617193	0.0	0.0	0.0	0.0	inf	inf	4620.048331279367	7058.487913262177	0.0
8	23109275.0012428	4467.712025201478	4477.332136933322	6918.126000825613	6927.68550649685	0.0	0.0	0.0	0.0	inf	inf	4631.362071632906	7069.801653615717	0.0
9	23261656.82397168	4462.340954407722	4470.108910208827	6912.754930031857	6920.462279772356	0.0	0.0	0.0	0.0	inf	inf	4610.0251426507175	7048.464724633528	0.0
10	23261940.744122095	4468.345836577893	4477.48232682859	6918.759812202028	6927.835696392119	0.0	0.0	0.0	0.0	inf	inf	4628.004418462213	7066.444000445024	0.0
