Modelo 	 SSE 	 AIC 	 AICc 	 Delta_AIC 	 Delta_AICc 	 Likelihood 	 Likelihood_c 	 AIC_weights 	 AICc_weights 	 AIC_evid_ratio 	 AICc_evid_ratio 	 BIC 	 Delta_BIC 	 BIC_prob
1	25.031954285693153	-1092.5245467911047	-1092.156260346092	1282.1728751811668	1282.4398958033948	3.799248768753627e-279	3.324412755563059e-279	3.799248768753627e-279	3.324412755563059e-279	2.632099293482321e+278	3.0080500633581194e+278	-1060.5928304142408	1298.1387333695989	1.296449714310199e-282
2	6.656634957108872	-1628.3401807755008	-1628.1878965115413	746.3572411967707	746.4082596379455	8.522839497261131e-163	8.308178067627896e-163	8.522839497261131e-163	8.308178067627896e-163	1.173317883460502e+162	1.203633325935098e+162	-1608.3828580399609	750.3487057438788	1.1583739866138408e-163
3	330004554.0877066	5459.260986194949	5459.413270458908	7833.95840816722	7834.009426608395	0.0	0.0	0.0	0.0	inf	inf	5479.218308930488	7837.949872714327	0.0
4	26515437.94448176	4446.709255266671	4446.769861327277	6821.406677238942	6821.366017476764	0.0	0.0	0.0	0.0	inf	inf	4458.683648907995	6817.415212691834	0.0
5	25.40474039085895	-1090.611504374098	-1090.3977639160828	1284.0859175981734	1284.198392233404	1.4597747547533535e-279	1.3799466356970887e-279	1.4597747547533535e-279	1.3799466356970887e-279	6.850371927201618e+278	7.2466570382618e+278	-1066.6627170914503	1292.0688466923893	2.6965893886688566e-281
6	1.0353308031048782	-2374.6974219722715	-2374.596156149487	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	-2358.7315637838396	0.0	1.0
7	286004483.7383672	5394.021399584053	5394.031449835309	7768.718821556325	7768.627605984796	0.0	0.0	0.0	0.0	inf	inf	5398.012864131161	7756.744427915	0.0
8	7.000400645418536	-1610.1988658522964	-1610.0976000295116	764.4985561199751	764.4985561199753	9.800490838838827e-167	9.800490838837713e-167	9.800490838838827e-167	9.800490838837713e-167	1.020357058074125e+166	1.0203570580742411e+166	-1594.2330076638646	764.4985561199751	9.800490838838827e-167
9	26.10131125375521	-1081.7915977735288	-1081.6393135095693	1292.9058241987427	1292.9568426399176	1.7744651116341844e-281	1.729772351924219e-281	1.7744651116341844e-281	1.729772351924219e-281	5.635501050111124e+280	5.7811075479821855e+280	-1061.8342750379888	1296.8972887458508	2.4117481340947587e-282
10	78453297.71904258	4884.619810034443	4884.772094298402	7259.317232006714	7259.368250447889	0.0	0.0	0.0	0.0	inf	inf	4904.577132769982	7263.308696553822	0.0
11	379233834557190.94	11037.083824549578	11037.144430610184	13411.781246521849	13411.740586759672	0.0	0.0	0.0	0.0	inf	inf	11049.058218190901	13407.789781974741	0.0
12	515618574.1617447	5637.765322254327	5637.917606518286	8012.462744226598	8012.513762667773	0.0	0.0	0.0	0.0	inf	inf	5657.722644989866	8016.454208773706	0.0
13	378395244710651.6	11034.198335634805	11034.228562335056	13408.895757607075	13408.824718484542	0.0	0.0	0.0	0.0	inf	inf	11042.18126472902	13400.91282851286	0.0
14	286256888.8830914	5392.374252560917	5392.374252560917	7767.071674533188	7766.970408710404	0.0	0.0	0.0	0.0	inf	inf	5392.374252560917	7751.105816344756	0.0
15	244661978.48027974	5333.569435637749	5333.599662338001	7708.26685761002	7708.1958184874875	0.0	0.0	0.0	0.0	inf	inf	5341.552364731965	7700.283928515804	0.0
