Modelo 	 SSE 	 AIC 	 AICc 	 Delta_AIC 	 Delta_AICc 	 Likelihood 	 Likelihood_c 	 AIC_weights 	 AICc_weights 	 AIC_evid_ratio 	 AICc_evid_ratio 	 BIC 	 Delta_BIC 	 BIC_prob
1	0.003275108205284318	-3419.9829052578466	-3419.2242845681913	2577.5082096663423	2578.1860222751893	0.0	0.0	0.0	0.0	inf	inf	-3382.911802610358	2603.457981519585	0.0
2	0.2036454059519991	-2184.8440657997085	-2184.5583515139942	3812.6470491244804	3812.8519553293863	0.0	0.0	0.0	0.0	inf	inf	-2162.601404211215	3823.7683799187275	0.0
3	6.553850306398858e-07	-5997.491114924189	-5997.410306843381	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	-5986.369784129943	0.0	1.0
4	0.24768860858213515	-2115.9106523154637	-2114.9971575057752	3881.580462608725	3882.4131493376053	0.0	0.0	0.0	0.0	inf	inf	-2075.1324394032263	3911.2373447267164	0.0
5	0.331269374505469	-2026.3920373994338	-2025.3087040661005	3971.099077524755	3972.1016027772803	0.0	0.0	0.0	0.0	inf	inf	-1981.9067142224474	4004.463069907495	0.0
6	0.007262693476875788	-3186.2665491936236	-3185.8842966338966	2811.2245657305652	2811.526010209484	0.0	0.0	0.0	0.0	inf	inf	-3160.3167773403816	2826.053006789561	0.0
7	0.028465877589278515	-2761.1139948518276	-2759.645463383296	3236.3771200723613	3237.7648434600846	0.0	0.0	0.0	0.0	inf	inf	-2709.2144511453434	3277.155332984599	0.0
8	0.01517820383877135	-2956.3965359897556	-2955.483041180067	3041.0945789344332	3041.9272656633134	0.0	0.0	0.0	0.0	inf	inf	-2915.618323077518	3070.7514610524245	0.0
9	0.03606317403520308	-2687.9075859748364	-2686.2233754485205	3309.5835289493525	3311.18693139486	0.0	0.0	0.0	0.0	inf	inf	-2632.300932003603	3354.0688521263396	0.0
10	0.006475092417274501	-3226.8177016560458	-3226.6825665209108	2770.673413268143	2770.72774032247	0.0	0.0	0.0	0.0	inf	inf	-3211.9892605970504	2774.3805235328923	0.0
11	0.1274752888904852	-2301.8498461726217	-2299.424314257728	3695.641268751567	3697.9859925856526	0.0	0.0	0.0	0.0	inf	inf	-2235.1218614071418	3751.247922722801	0.0
12	0.0065821622200966465	-3215.8811764958855	-3215.4989239361585	2781.6099384283034	2781.911382907222	0.0	0.0	0.0	0.0	inf	inf	-3189.9314046426434	2796.4383794872992	0.0
13	0.07395476525149651	-2459.7349872638356	-2456.423159306846	3537.7561276603533	3540.9871475365344	0.0	0.0	0.0	0.0	inf	inf	-2381.8856717041094	3604.4841124258332	0.0
14	0.22302498312149338	-2153.4821057299278	-2152.988955044996	3844.009009194261	3844.4213517983844	0.0	0.0	0.0	0.0	inf	inf	-2123.825223611937	3862.5445605180057	0.0
15	0.016836417438775165	-2903.187710913159	-2899.547423143375	3094.3034040110297	3097.8628837000056	0.0	0.0	0.0	0.0	inf	inf	-2821.631285088684	3164.738499041259	0.0
16	0.4136023414027238	-1961.5781284158468	-1960.6646336061583	4035.9129865083423	4036.745673237222	0.0	0.0	0.0	0.0	inf	inf	-1920.799915503609	4065.5698686263336	0.0
17	0.18668083556032009	-2193.0250091757	-2191.340798649384	3804.466105748489	3806.0695081939966	0.0	0.0	0.0	0.0	inf	inf	-2137.4183552044665	3848.951428925476	0.0
18	0.0383885216114054	-2663.099220602607	-2660.6736886877134	3334.3918943215817	3336.736618155667	0.0	0.0	0.0	0.0	inf	inf	-2596.371235837127	3389.9985482928155	0.0
19	0.0005746399367343676	-3921.8320296878605	-3918.520201730871	2075.6590852363283	2078.8901051125094	0.0	0.0	0.0	0.0	inf	inf	-3843.9827141281344	2142.3870700018083	0.0
20	0.08448786787136801	-2445.6555361439428	-2445.162385459011	3551.835578780246	3552.2479213843694	0.0	0.0	0.0	0.0	inf	inf	-2415.998654025952	3570.3711301039907	0.0
21	3.3446520517307795e-05	-4769.814591649581	-4765.087318922308	1227.6765232746075	1232.3229879210721	2.5907779362707644e-267	2.5378340013866776e-268	2.5907779362707644e-267	2.5378340013866776e-268	3.8598445123375836e+266	3.940368043983956e+267	-4677.136835030859	1309.2329490990833	5.054489982746115e-285
22	0.00971302932878743	-3094.7605962625307	-3094.1420395614996	2902.730518661658	2903.268267281881	0.0	0.0	0.0	0.0	inf	inf	-3061.3966038797907	2924.973180250152	0.0
23	0.3809642363197198	-1956.3201723221653	-1951.1960847309244	4041.1709426020234	4046.214222112456	0.0	0.0	0.0	0.0	inf	inf	-1859.9353054386945	4126.434478691248	0.0
24	0.010101276542057003	-3072.9633250078796	-3071.494793539348	2924.5277899163093	2925.9155133040326	0.0	0.0	0.0	0.0	inf	inf	-3021.0637813013955	2965.306002828547	0.0
25	0.000412823218730502	-4007.380010324082	-4001.409422088788	1990.111104600107	1996.0008847545928	0.0	0.0	0.0	0.0	inf	inf	-3903.5809229111132	2082.7888612188294	0.0
26	0.0014161824662400084	-3654.337109623105	-3651.6324832885853	2343.154005301084	2345.7778235547953	0.0	0.0	0.0	0.0	inf	inf	-3583.902014592876	2402.4677695370665	0.0
27	0.00462506010403284	-3316.096229392736	-3315.3376087030806	2681.394885531453	2682.0726981403	0.0	0.0	0.0	0.0	inf	inf	-3279.0251267452472	2707.3446573846954	0.0
28	0.11820524128453962	-2332.5753722672293	-2331.1068407986977	3664.9157426569595	3666.303466044683	0.0	0.0	0.0	0.0	inf	inf	-2280.6758285607452	3705.6939555691974	0.0
29	0.035688706096806785	-2707.0494095092954	-2706.6671569495684	3290.4417054148935	3290.743149893812	0.0	0.0	0.0	0.0	inf	inf	-2681.0996376560533	3305.2701464738893	0.0
30	0.04897243313963999	-2593.806005868886	-2591.8905129111395	3403.6851090553027	3405.519793932241	0.0	0.0	0.0	0.0	inf	inf	-2534.492241632904	3451.8775424970386	0.0
31	0.12171277042393128	-2313.773686296547	-2311.0690599620275	3683.7174286276418	3686.341246881353	0.0	0.0	0.0	0.0	inf	inf	-2243.3385912663184	3743.0311928636243	0.0
32	0.006014327387512265	-3229.0370279476674	-3227.568496479136	2768.4540869765215	2769.841810364245	0.0	0.0	0.0	0.0	inf	inf	-3177.1374842411833	2809.2322998887594	0.0
33	0.038490378551788815	-2664.301629665964	-2662.1390854963524	3333.189485258225	3335.271221347028	0.0	0.0	0.0	0.0	inf	inf	-2601.280755165233	3385.0890289647095	0.0
34	0.011676106386490425	-3019.3536147475857	-3016.648988413066	2978.137500176603	2980.7613184303145	0.0	0.0	0.0	0.0	inf	inf	-2948.918519717357	3037.4512644125857	0.0
35	0.007203220650541064	-3184.741528849639	-3184.122972148608	2812.74958607455	2813.2873346947727	0.0	0.0	0.0	0.0	inf	inf	-3151.377536466899	2834.9922476630436	0.0
36	0.07790499269075815	-2438.0720260671437	-2433.724199980187	3559.419088857045	3563.6861068631933	0.0	0.0	0.0	0.0	inf	inf	-2349.101379713171	3637.268404416772	0.0
37	0.005816920010008659	-3251.082483620935	-3250.5893329360033	2746.408631303254	2746.8209739073773	0.0	0.0	0.0	0.0	inf	inf	-3221.425601502944	2764.9441826269986	0.0
38	2.2876346312021054	-1416.7571598360173	-1411.6330722447765	4580.733955088172	4585.777234598604	0.0	0.0	0.0	0.0	inf	inf	-1320.3722929525466	4665.997491177396	0.0
39	0.017448974391062126	-2906.4309859592645	-2904.7467754329487	3091.0601289649244	3092.663531410432	0.0	0.0	0.0	0.0	inf	inf	-2850.824331988031	3135.5454521419115	0.0
40	0.646759582212661	-1795.0101629556102	-1789.4717014171488	4202.480951968579	4207.938605426232	0.0	0.0	0.0	0.0	inf	inf	-1694.9181858073905	4291.451598322552	0.0
41	0.00625293008769195	-3205.3264281190973	-3202.3264281190973	2792.1646868050916	2795.0838787242833	0.0	0.0	0.0	0.0	inf	inf	-3131.18422282412	2855.185561305823	0.0
42	0.21753708597986784	-2158.981355443054	-2158.3627987420227	3838.509759481135	3839.047508101358	0.0	0.0	0.0	0.0	inf	inf	-2125.617363060314	3860.752421069629	0.0
43	0.33174932260316214	-2009.9562596354908	-2006.9562596354908	3987.534855288698	3990.4540472078897	0.0	0.0	0.0	0.0	inf	inf	-1935.8140543405134	4050.5557297894293	0.0
44	0.144285227856064	-2280.565109729644	-2279.8064890399887	3716.926005194545	3717.603817803392	0.0	0.0	0.0	0.0	inf	inf	-2243.4940070821553	3742.8757770477873	0.0
45	0.23629009349040647	-2110.091390441865	-2106.7795624848754	3887.399724482324	3890.630744358505	0.0	0.0	0.0	0.0	inf	inf	-2032.2420748821385	3954.127709247804	0.0
46	0.012521877912949148	-3014.3038470742104	-3013.390352264522	2983.1872678499785	2984.0199545788587	0.0	0.0	0.0	0.0	inf	inf	-2973.525634161973	3012.8441499679698	0.0
47	0.044572103676503674	-2598.144964909502	-2592.174376674208	3399.346150014687	3405.2359301691727	0.0	0.0	0.0	0.0	inf	inf	-2494.3458774965334	3492.0239066334093	0.0
48	0.011320667336465282	-3046.658891733412	-3045.9002710437567	2950.832223190777	2951.510035799624	0.0	0.0	0.0	0.0	inf	inf	-3009.5877890859233	2976.7819950440194	0.0
49	0.005090451755765843	-3237.2371880190303	-3227.727754056766	2760.2539269051586	2769.6825527866145	0.0	0.0	0.0	0.0	inf	inf	-3107.4883287528196	2878.881455377123	0.0
50	0.21616675567252888	-2144.8834404857676	-2142.720896316156	3852.6076744384213	3854.6894105272245	0.0	0.0	0.0	0.0	inf	inf	-2081.862565985037	3904.507218144906	0.0
51	0.002292736131041457	-3529.321006324949	-3528.702449623918	2468.17010859924	2468.7078572194628	0.0	0.0	0.0	0.0	inf	inf	-3495.957013942209	2490.4127701877337	0.0
52	0.1497786568732445	-2217.3177950444165	-2207.2268859535075	3780.1733198797724	3790.183420889873	0.0	0.0	0.0	0.0	inf	inf	-2083.861825513457	3902.5079586164857	0.0
53	0.17783245124585167	-2185.6411402803537	-2180.517052689113	3811.849974643835	3816.8932541542677	0.0	0.0	0.0	0.0	inf	inf	-2089.256273396883	3897.1135107330597	0.0
54	0.01933869882797145	-2871.4799577660933	-2869.317413596482	3126.0111571580956	3128.0928932468987	0.0	0.0	0.0	0.0	inf	inf	-2808.4590832653626	3177.91070086458	0.0
55	0.01943872056996973	-2859.92716691113	-2856.2868791413457	3137.563948013059	3141.123427702035	0.0	0.0	0.0	0.0	inf	inf	-2778.3707410866546	3207.999043043288	0.0
56	0.5501073289006289	-1881.7303944671312	-1881.2372437821996	4115.760720457058	4116.173063061181	0.0	0.0	0.0	0.0	inf	inf	-1852.0735123491402	4134.296271780802	0.0
57	0.02484751342365841	-2786.034465748426	-2782.394177978642	3211.456649175763	3215.0161288647387	0.0	0.0	0.0	0.0	inf	inf	-2704.4780399239507	3281.891744205992	0.0
58	0.039711100527791796	-2668.90367023976	-2668.1450495501044	3328.587444684429	3329.265257293276	0.0	0.0	0.0	0.0	inf	inf	-2631.832567592271	3354.5372165376716	0.0
