Modelo 	 SSE 	 AIC 	 AICc 	 Delta_AIC 	 Delta_AICc 	 Likelihood 	 Likelihood_c 	 AIC_weights 	 AICc_weights 	 AIC_evid_ratio 	 AICc_evid_ratio 	 BIC 	 Delta_BIC 	 BIC_prob
1	0.01800326281614125	-3987.4667268230123	-3987.0984403779994	5271.704618351968	5271.971638974196	0.0	0.0	0.0	0.0	inf	inf	-3955.5350104461486	5287.670476540399	0.0
2	1.14393693116125e-07	-8780.033774692887	-8779.881490428928	479.137570482093	479.18858892326716	9.048957188913997e-105	8.82104463847106e-105	9.048957188913997e-105	8.82104463847106e-105	1.1050997138378706e+104	1.1336525785605011e+104	-8760.076451957348	483.12903502920017	1.2298807946569369e-105
3	52532578.25193725	4724.191810452733	4724.344094716693	13983.363155627714	13983.414174068888	0.0	0.0	0.0	0.0	inf	inf	4744.149133188273	13987.354620174821	0.0
4	21898540.949411802	4370.186408857915	4370.247014918521	13629.357754032895	13629.317094270717	0.0	0.0	0.0	0.0	inf	inf	4382.160802499239	13625.366289485788	0.0
5	0.00015402931241639603	-5895.932872161939	-5895.719131703923	3363.2384730130416	3363.3509476482723	0.0	0.0	0.0	0.0	inf	inf	-5871.984084879291	3371.221402107257	0.0
6	3.7165595785532703e-06	-7389.670683677859	-7389.569417855075	1869.5006614971207	1869.5006614971207	0.0	0.0	0.0	0.0	inf	inf	-7373.704825489427	1869.5006614971207	0.0
7	254775423.29019612	5347.771389998876	5347.781440250132	14606.942735173856	14606.851519602327	0.0	0.0	0.0	0.0	inf	inf	5351.762854545984	14594.96834153253	0.0
8	3.4702163062911e-08	-9259.17134517498	-9259.070079352196	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	-9243.205486986548	0.0	1.0
9	1.0490722067178884e-06	-7893.627577667292	-7893.475293403332	1365.5437675076882	1365.5947859488633	2.9918408456165682e-297	2.9164865187675915e-297	2.9918408456165682e-297	2.9164865187675915e-297	3.342423783889202e+296	3.42878320734555e+296	-7873.670254931752	1369.5352320547954	4.06633330214218e-298
10	35834684.74204703	4571.18491311052	4571.33719737448	13830.356258285501	13830.407276726675	0.0	0.0	0.0	0.0	inf	inf	4591.1422358460595	13834.347722832608	0.0
11	219088760.23484972	5291.409182575128	5291.469788635734	14550.58052775011	14550.539867987929	0.0	0.0	0.0	0.0	inf	inf	5303.383576216453	14546.589063203	0.0
12	4855374087.697068	6534.754976264876	6534.907260528836	15793.926321439856	15793.977339881032	0.0	0.0	0.0	0.0	inf	inf	6554.712299000415	15797.917785986963	0.0
13	254775423.00181884	5349.771389546119	5349.801616246371	14608.942734721099	14608.871695598566	0.0	0.0	0.0	0.0	inf	inf	5357.754318640335	14600.959805626884	0.0
14	208797458.58126605	5270.164278098016	5270.194504798268	14529.335623272997	14529.264584150464	0.0	0.0	0.0	0.0	inf	inf	5278.147207192233	14521.35269417878	0.0
